Key,Name,Location,Historical Z-Score,GroupQ1 ,GroupQ2 ,GroupQ3 ,GroupQ4 ,GroupQ5 ,GroupQ6 ,GroupQ7 ,GroupQ8 ,GroupQ9 ,GroupQ10 ,SwissRound 1 ,SwissRound 2 ,SwissRound 3 ,SwissRound 4 ,SwissRound 5 ,CrossQ1 ,CrossQ2 ,CrossQ3 ,CrossQ4 ,RelayQ1 ,RelayQ2 ,RelayQ3 ,RelayQ4 ,RelayQ5 ,RelayQ6 ,RelayQ7 ,RelayQ8 ,RelayQ9 ,RelayQ10 ,RelayQ11 ,RelayQ12 ,RelayQ13 ,RelayQ14 ,RelayQ15 ,RelayQ16 ,RelayQ17 ,RelayQ18 ,RelayQ19 ,RelayQ20 ,SwissRound 1 Partner,SwissRound 2 Partner,SwissRound 3 Partner,SwissRound 4 Partner,SwissRound 5 Partner,SwissRound 1 Sites,SwissRound 2 Sites,SwissRound 3 Sites,SwissRound 4 Sites,SwissRound 5 Sites
A1,Radford College,City,1.33148658,15,15,20,20,25,25,30,30,20,20,30,0,30,20,20,11,13,12,0,10,0,5,5,15,15,10,0,15,15,5,5,0,0,10,0,0,0,0,0,B8,B5,A6,A8,A2,A1,A3,A3,A9,A7
A2,Canberra Grammar,City,1.40907383,15,0,20,20,0,25,15,10,35,20,60,60,0,0,40,12,14,10,4,10,10,0,5,15,15,10,10,0,15,5,5,0,0,10,10,0,15,0,0,B4,A9,B3,A6,A1,B4,B4,A9,A1,A7
A3,Sydney Technical High School,City,1.42724025,15,0,20,20,25,0,0,0,0,0,30,60,60,50,60,12,13,12,11,0,10,5,5,15,15,0,10,0,15,5,5,0,20,10,10,0,0,0,0,C6,D2,D9,C9,D7,C9,C9,D2,C5,B6
A4,Daramalan College,City,-0.537570596,15,15,10,20,0,25,30,30,20,20,60,30,60,30,30,13,15,12,0,10,10,5,5,15,0,10,0,15,15,5,5,0,20,10,10,15,0,0,20,B9,C8,B8,B3,B5,A7,A7,A1,A5,A1
A5,Canberra Girls Grammar,City,1.04472733,15,0,20,20,0,25,15,0,10,10,30,30,0,50,0,10,11,5,0,0,10,0,5,15,0,10,10,15,15,5,0,0,0,0,0,0,0,0,0,A7,D7,C9,D4,C6,C5,C3,C3,C3,C7
A6,Narrabundah College,City,0.669313431,15,15,20,20,25,25,15,10,35,35,30,60,30,60,40,15,14,15,15,0,10,5,5,0,15,10,10,15,15,5,5,0,20,10,10,15,0,0,20,B5,B8,A1,A2,B3,A3,A1,A3,A1,A3
A7,Trinity Christian School,City,-0.0683811232,15,0,10,20,0,25,0,20,10,10,30,40,40,30,0,14,14,12,2,0,10,5,5,15,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,A5,C1,D4,B4,D5,C5,C5,C5,C1,B8
A8,Dickson College,City,1.43700969,15,15,20,20,25,25,15,20,10,20,40,15,30,40,60,15,9,7,5,10,10,5,5,15,0,10,10,15,15,5,5,0,0,10,10,0,0,0,0,D3,C7,D8,A1,B2,A9,A9,A7,A9,A9
A9,Moruya High School,Country,-0.419890255,15,15,10,20,25,0,15,30,10,0,10,0,25,20,40,11,4,3,0,10,10,5,5,15,0,10,10,0,15,5,5,0,20,0,0,0,0,0,0,B7,A2,D7,D9,C3,B6,B4,B8,C7,C9
B1,Melba Copland Secondary,City,-1.08116341,15,0,20,20,25,0,0,30,0,0,40,50,0,20,30,12,13,7,0,0,10,0,5,15,15,10,0,0,15,5,0,0,0,10,0,0,0,0,0,D2,C6,B4,B9,B6,C7,C7,C1,B8,C5
B2,Trinity Christian School 2,City,0,15,15,20,20,0,25,15,20,0,0,60,30,60,60,0,14,15,11,3,0,10,5,5,15,0,0,10,0,15,5,0,0,0,10,0,0,15,0,0,D4,D5,D3,C7,A8,C1,B8,B2,B2,A9
B3,Orana,City,0,15,15,20,20,25,25,15,30,0,0,40,50,60,30,20,12,12,12,5,0,10,5,5,15,15,10,10,0,15,5,5,0,0,10,0,0,0,0,0,C7,D3,A2,A4,A6,B2,B2,A9,A5,A3
B4,St Frances Xavier College,City,-0.0323726684,15,15,10,20,25,25,30,0,10,0,0,40,60,30,20,15,12,10,3,0,10,5,5,15,15,10,0,0,0,5,0,0,0,0,0,15,0,0,0,A2,B7,B1,A7,B8,B4,B6,C1,C1,B4
B5,Merici College,City,0.13893047,15,15,20,0,25,25,30,30,35,20,30,60,60,50,30,11,13,15,13,0,10,5,5,15,0,10,0,0,15,5,5,0,0,10,0,0,0,0,0,A6,A1,C8,D8,A4,A3,A3,A5,A3,A1
B6,Bishop Tyrrell Anglican 2,City,-0.415523291,15,0,20,0,0,0,30,0,0,0,50,10,60,25,30,11,6,2,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,D9,C1,C4,B1,D2,D4,C7,D2,C5
B7,Canberra College 2,City,0.789910197,15,0,0,20,25,25,15,30,10,0,50,20,50,5,20,15,15,15,2,0,10,5,5,15,15,10,0,15,15,5,5,0,0,10,0,0,0,0,0,A9,B4,B9,D5,C8,B6,B6,B4,B4,B2
B8,St Edmunds College,City,-0.660328209,15,15,20,20,25,25,30,30,35,10,30,0,0,30,40,15,12,14,5,10,10,5,5,15,0,10,0,0,15,5,0,0,0,10,0,0,0,0,0,A1,A6,A4,C8,B4,A1,A1,A1,A7,B4
B9,Southern Highlands Christian,Country,-1.13167107,15,15,20,0,0,25,30,30,35,20,0,5,10,40,20,9,9,0,0,10,0,5,5,15,15,10,0,15,0,5,5,0,0,10,10,0,0,0,0,A4,D8,B7,B1,D4,A7,A5,B4,B8,C3
C1,Moruya High School 2,City,0,15,15,10,20,0,25,15,10,10,0,10,20,0,40,40,12,7,1,0,0,10,5,5,15,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,D7,A7,B6,C3,D9,C3,C5,C7,C9,D2
C2,Hawker College,City,0.144457996,15,15,10,20,0,0,15,0,0,0,10,20,40,0,0,9,11,6,0,0,10,0,5,15,0,10,0,0,15,5,5,0,0,0,0,0,0,0,0,B6,C3,D6,C5,C4,D2,D2,D4,D8,D4
C3,St Clares College,City,-0.853091955,0,0,20,20,0,0,15,0,10,0,20,40,35,20,20,11,11,0,0,10,0,5,5,15,15,10,10,15,15,5,5,0,0,0,0,0,0,0,0,D9,C2,C4,C1,A9,D4,D2,D6,C9,C9
C4,Bomaderry High School,Country,-0.699910641,15,0,0,20,0,0,0,10,0,0,40,40,25,35,60,10,11,6,0,0,0,5,5,0,0,10,0,0,15,5,5,0,20,0,0,0,0,0,0,D1,D6,C3,B6,C2,D6,D8,D6,D2,D4
C5,Bishop Tyrrell Anglican,City,-0.415523291,15,0,10,0,0,0,15,0,0,0,0,20,45,60,20,7,9,2,1,0,0,0,5,0,0,10,0,0,15,5,0,0,20,0,0,0,0,0,0,D6,D1,D1,C2,D2,D8,D6,D8,D8,D8
C6,Burgmann Anglican,City,0.281100661,15,15,20,0,0,0,15,0,20,0,30,10,55,40,60,11,13,9,0,0,10,0,5,15,0,10,10,15,15,5,5,0,0,10,10,15,0,0,0,A3,B1,D2,D1,A5,C9,C7,C9,D4,C7
C7,Marist College,City,0.211330056,15,15,20,20,25,25,30,10,10,0,20,45,55,0,10,13,12,5,0,10,10,5,5,15,15,10,10,0,15,5,5,0,0,10,0,0,15,0,0,B3,A8,D5,B2,D8,B2,A9,B6,B2,A5
C8,Narrabundah College 2,City,0.685439825,15,15,20,20,25,25,30,30,10,10,40,30,0,30,40,10,15,14,7,0,10,0,5,15,15,10,10,0,15,5,5,0,20,10,0,15,15,0,0,D8,A4,B5,B8,B7,A5,A7,A5,A7,B2
C9,Sydney Technical High School 2,City,1.45396125,15,15,10,20,0,25,0,20,15,15,10,10,60,10,20,11,11,6,0,0,10,5,5,15,15,10,0,0,0,5,5,0,20,10,0,0,0,0,0,D5,D4,A5,A3,D3,B8,C1,C3,C5,C1
D1,Bomaderry High School 2,City,0,15,0,0,0,0,25,0,0,10,0,20,40,15,20,0,3,8,0,0,10,10,5,0,0,0,0,10,0,15,5,0,0,0,10,0,15,0,0,0,C4,C5,C5,C6,D6,D6,D6,D8,D4,D6
D2,Erindale College,City,-0.454505384,15,15,10,20,0,0,15,0,10,10,20,0,5,0,40,10,9,4,0,0,0,0,5,0,15,10,10,0,15,5,0,0,0,0,0,0,15,0,0,B1,A3,C6,D6,C5,C7,C9,C9,D6,D8
D3,Lake Ginninderra College,City,0.301231354,15,15,20,20,25,25,0,30,10,20,20,10,0,20,40,13,15,14,8,0,10,0,5,0,15,10,10,0,15,5,5,0,20,10,10,15,0,0,0,A8,B3,B2,D7,C9,A9,B2,B2,B6,C1
D4,Bishop Tyrrell Anglican 3,City,-0.415523291,15,0,20,20,25,0,15,30,0,0,0,50,20,10,40,13,12,7,6,10,10,5,5,15,0,0,0,0,15,5,5,0,0,10,0,0,0,0,0,B2,C9,A7,A5,B9,C1,C1,C5,C3,C3
D5,Brindabella Christian College,City,-0.286672413,15,0,20,20,25,25,15,10,10,0,50,30,5,55,60,12,13,3,0,10,10,5,5,15,15,10,10,15,15,5,5,0,0,10,0,0,0,0,0,C9,B2,C7,B7,A7,B8,B8,B6,B4,B8
D6,Lake Ginninderra College 2,City,-0.0206988603,0,0,10,20,0,0,0,0,0,0,60,20,20,60,60,12,10,1,0,10,10,0,5,15,15,0,0,0,0,5,5,0,0,10,0,0,0,0,0,C5,C4,C2,D2,D1,D8,D8,D4,D6,D6
D7,Lake Tuggeranong College,City,-0.404649973,15,0,20,20,0,25,15,20,10,0,50,30,35,40,0,11,13,0,0,0,10,0,5,0,15,0,10,0,15,5,5,0,20,10,10,0,0,0,20,C1,A5,A9,D3,A3,C3,C3,B8,B6,B6
D8,Canberra College,City,1.49226046,15,15,20,20,25,25,0,30,20,35,20,55,30,10,50,15,14,15,14,10,10,5,5,15,15,10,10,15,15,5,5,0,20,0,10,0,0,0,0,C8,B9,A8,B5,C7,A5,A5,A7,A3,A5
D9,Burgmann Anglican 2,City,-0.392043054,15,0,20,0,0,0,30,0,0,0,40,50,0,40,20,14,12,6,0,0,0,5,5,0,0,10,10,0,15,5,5,0,0,10,0,0,15,0,0,C3,B6,A3,A9,C1,D4,D4,D2,C7,D2
